user,n_decisions,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window,p_emp_lower
110,75,0.9499064395616568,0.8517819206520638,0.04305590624729678,2.2790025216518024,0.999920003199872
111,75,0.46319187594909783,0.7930299148103088,0.04338092594528349,-7.603296418274631,3.999840006399744e-05
112,75,0.6812894914934019,0.7406029609788745,0.04253838010261219,-1.3943518615987507,0.09147634094636214
113,75,0.8082291711197946,0.8393147891903195,0.04337974392040146,-0.716592936269164,0.22255109795608174
114,23,0.6879012589166417,0.746055642104745,0.08565514279327538,-0.678936270393666,0.24291028358865646
115,74,0.712007849851726,0.7930463532275777,0.0434385087065886,-1.8655912872892888,0.045998160073597055
116,74,0.6739531457974874,0.8041699825563279,0.04430679893346964,-2.9389809215143683,0.007199712011519539
117,75,0.6774280562345024,0.6780792498707688,0.04252489790937294,-0.015313232207028835,0.45878164873405064
118,75,0.6167741243259164,0.672457532186132,0.040805920504565434,-1.3645913919276906,0.09427622895084196
119,70,0.5937156417338488,0.6403059741079479,0.04197619182817309,-1.1099228001628554,0.1390744370225191
120,74,0.7013354570131269,0.6870160800351706,0.040763728140240076,0.35127741330952866,0.609415623375065
122,74,0.7255194382894418,0.7657408137794768,0.04366422870129359,-0.9211516311255356,0.1705931762729491
123,75,0.7836776570779475,0.7750768073207813,0.042523273984088346,0.202262172013953,0.5407383704651814
124,75,0.8008603767120598,0.7575366160006821,0.043084259773186154,1.0055588964381041,0.8454861805527779
125,75,0.6918115689399078,0.8084197048003647,0.042512721568944915,-2.7428998087395544,0.01063957441702332
126,75,0.8355798920903488,0.7903636040932307,0.043305802695325545,1.0441161503282503,0.8649254029838807
127,75,0.7672030896639636,0.8575317805328546,0.04315503852691094,-2.093120385295525,0.03415863365465381
128,75,0.7801702979291121,0.7237007655283063,0.04222948496136833,1.3372062778521756,0.9240430382784689
129,75,0.6742747731957314,0.7786149975504729,0.04324648455758995,-2.412686844309739,0.019439222431102757
