user,w_R,w_MI,w_WSLS,ll_mean
200,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
201,0.3333333389066303,0.33333683121320584,0.3333298298801639,-0.45056120886630463
202,0.9999999999593681,1.3495147694068574e-13,4.049696910532241e-11,-0.6931471805599451
203,0.3333333342648855,0.33333376552618404,0.3333329002089305,-0.45056120886630463
204,0.9999999986240042,1.0501337143274418e-11,1.365494463241562e-09,-0.6931471805599451
205,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.6791932659915281
206,0.805555487275543,0.07545095900503898,0.11899355371941785,-0.6741218961767391
207,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599455
208,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.6154982822759201
209,0.5555553973681095,0.2004117494224218,0.24403285320946863,-0.5908422462755981
210,0.44444436095370476,0.26391786695837877,0.29163777208791636,-0.5297061990576596
211,0.7272728206274827,0.11213101467789932,0.16059616469461796,-0.6554817739013975
212,0.33333333652126623,0.33333723054357484,0.33332943293515904,-0.45056120886630463
213,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.45056120886630463
215,0.25000008891028636,0.389099975205064,0.3608999358846496,-0.37677016125644575
216,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570274
217,0.9999999999999967,1.2312141664568287e-18,3.436963508326462e-15,-0.6931471805599452
218,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
219,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
220,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
221,0.6250001033001169,0.163486893347771,0.211513003352112,-0.6210863745552513
222,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599455
223,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
224,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
226,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570275
227,0.08333330022203896,0.5287346105429703,0.38793208923499084,-0.1732052067491806
228,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599455
230,0.9722222075531032,0.007884211310989122,0.019893581135907872,-0.692761328460975
231,0.9583333522880034,0.012641345176410093,0.029025302535586373,-0.6922788736563189
232,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
233,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.61549828227592
234,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.6791932659915281
235,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
236,0.805555487275543,0.07545095900503898,0.11899355371941785,-0.6741218961767392
237,0.9999999993624358,4.070218737672203e-12,6.334940045447207e-10,-0.6931471805599451
238,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599455
239,0.8611111597109721,0.05091191023387341,0.08797693005515453,-0.6834708679894433
240,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.679193265991528
241,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
242,0.5277778841466996,0.21605964581746126,0.25616247003583925,-0.5770853964823844
244,0.9565217204241577,0.013278435080516503,0.03019984449532597,-0.6922017029622769
245,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.6791932659915281
246,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
247,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948174
248,0.9722222114356099,0.007884210011960583,0.019893578552429278,-0.692761328460975
249,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
250,0.7222223176348229,0.11449922146351145,0.16327846090166556,-0.6540548103069365
251,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
252,0.805555487275543,0.07545095900503898,0.11899355371941785,-0.6741218961767392
254,0.9999999993624404,4.070182268869109e-12,6.334894445538497e-10,-0.6931471805599452
255,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
256,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
257,0.3888890102025539,0.297658091879373,0.31345289791807324,-0.4926036575395956
258,0.7916667607647389,0.08175321004369847,0.12658002919156267,-0.6712860177043516
259,0.2500001020984202,0.3890999662637652,0.3608999316378145,-0.3767701612564487
260,0.4166667424232967,0.2807095339696939,0.30262372360700945,-0.5117400734174137
261,0.5633804103868676,0.19611868409947272,0.24050090551365974,-0.5945425145058265
262,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599455
263,0.6760564686091611,0.13737800560958943,0.18656552578124946,-0.6397189022705719
264,0.4166667424232967,0.2807095339696939,0.30262372360700945,-0.5117400734174137
265,0.6760564686091611,0.13737800560958943,0.18656552578124946,-0.6397189022705719
266,0.8732394853368963,0.045825466035347526,0.0809350486277561,-0.6850914051596689
267,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.61549828227592
268,0.805555487275543,0.07545095900503898,0.11899355371941785,-0.6741218961767392
269,0.9722222075531032,0.007884211310989122,0.019893581135907872,-0.692761328460975
270,0.541666782075066,0.2082327345148175,0.2501004834101165,-0.5840859317593691
271,0.8888888507840546,0.03938627506303817,0.07172487415290744,-0.686961576597324
272,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
273,0.8333332667580426,0.063032471051949,0.10363426219000842,-0.6791932659915281
274,0.6571429786155422,0.14695394697260064,0.1959030744118572,-0.6331623242387505
275,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599454
276,0.8888888507840546,0.03938627506303817,0.07172487415290744,-0.6869615765973239
277,0.7500000841208068,0.10118493918338281,0.14881497669581045,-0.6615632381579858
278,0.9999999993624404,4.070182268869109e-12,6.334894445538497e-10,-0.6931471805599451
279,0.8750000414391923,0.04509031363480013,0.07990964492600762,-0.6853142072764591
280,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948176
281,0.8936170614597868,0.03744713940365898,0.06893579913655405,-0.6874777893536679
282,0.8732393873487154,0.04582550735828376,0.08093510529300088,-0.6850914051596689
283,0.9166666305303466,0.02819114098717866,0.05514222848247466,-0.6896709283570274
284,0.8888888507840546,0.03938627506303817,0.07172487415290744,-0.686961576597324
285,0.6111112196855037,0.17083903222525135,0.21804974808924493,-0.61549828227592
286,0.3333333292520789,0.33333821788505275,0.3333284528628684,-0.45056120886630463
287,0.9295774391815057,0.023234744316601042,0.047187816501893215,-0.6906654601681252
288,0.5915493876690684,0.18121349891603541,0.22723711341489605,-0.6072415465680924
289,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
290,0.6666665752874416,0.14211317188791442,0.19122025282464405,-0.6365141682948177
291,0.9999999993639554,4.058269471070399e-12,6.319863008525253e-10,-0.6931471805599451
292,0.5555553973681095,0.2004117494224218,0.24403285320946863,-0.5908422462755981
293,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
294,0.5277778841466996,0.21605964581746126,0.25616247003583925,-0.5770853964823844
296,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003336
297,0.4722223349117898,0.24757681021451772,0.28020085487369256,-0.5465556740613199
298,0.5352111511685467,0.2117165042425535,0.25307234458889993,-0.5808627788667243
299,0.36111099666777746,0.31533055712711516,0.32355844620510743,-0.47223485738499094
300,0.9444444696531317,0.01764208476130887,0.03791344558555938,-0.6916031758694979
301,0.8888888507840546,0.03938627506303817,0.07172487415290744,-0.686961576597324
302,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
303,0.7777778740231517,0.08813695634852191,0.13408516962832634,-0.6682484776645435
304,0.805555487275543,0.07545095900503898,0.11899355371941785,-0.6741218961767391
305,0.5833332217007765,0.18553456897191245,0.2311322093273111,-0.6036372515003338
306,0.3055556357219951,0.35136219593976065,0.3430821683382442,-0.4274973174139217
307,0.7222223176348229,0.11449922146351145,0.16327846090166556,-0.6540548103069366
308,1.0,1.6888405558455342e-24,6.348923006308717e-20,-0.6931471805599453
