user,n_decisions,H_real,H_shuffle_mean,H_shuffle_std,z_marginal,H_window_real,H_window_shuffle_mean,H_window_shuffle_std,z_window
149,75,0.931055823385033,0.9310558233850331,1.1102230246251565e-16,-1.0,0.8320725329415134,0.7687623547632363,0.04823052824894259,1.3126577808043214
150,75,0.9043814577244937,0.9043814577244936,1.1102230246251565e-16,1.0,0.7128557238329196,0.7423196991585849,0.0472614498653872,-0.6234251257544203
151,75,0.8892881527272397,0.8892881527272396,1.1102230246251565e-16,1.0,0.7086402124639559,0.7257772228779182,0.04468891931150227,-0.38347336829761963
152,75,0.7950402793845223,0.7950402793845224,1.1102230246251565e-16,-1.0,0.6367560508887354,0.6296742451193991,0.042659685703607945,0.16600698417094584
153,75,0.8366407419411672,0.8366407419411672,0.0,0.0,0.46283779983903367,0.6712329507707039,0.04337823696979889,-4.804140635700815
154,74,0.9090221560878149,0.9090221560878149,0.0,0.0,0.6394559060227818,0.7474551087135806,0.04523173190397386,-2.387686655909597
155,75,0.9626147059982517,0.962614705998252,3.3306690738754696e-16,-1.0,0.8632846891709669,0.8037971651976596,0.04520767954408531,1.3158720945917302
156,25,0.9895875212220556,0.9895875212220557,1.1102230246251565e-16,-1.0,0.772952295349881,0.8546540148239771,0.07881001071887951,-1.036692150259077
157,75,0.999871756640849,0.9998717566408488,2.220446049250313e-16,1.0,0.9218475663709745,0.8410245828406143,0.047777440312577496,1.6916557898787938
158,50,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.8323847819874572,0.8134767666410114,0.05582599745891802,0.33869552192703944
159,24,1.0,1.0,0.0,0.0,0.6286039460140789,0.8678126371256524,0.07490358239891003,-3.193554746655941
160,75,0.9531971725430559,0.9531971725430561,2.220446049250313e-16,-1.0,0.8078750950097302,0.7905883235923616,0.04477601137632696,0.38607215975713427
162,75,0.9709505944546686,0.9709505944546687,1.1102230246251565e-16,-1.0,0.8348717398702203,0.814626006394602,0.04673357252995192,0.433216045331066
163,75,0.9182958340544896,0.9182958340544899,3.3306690738754696e-16,-1.0,0.7016254941662854,0.7538733812085587,0.04750725813611397,-1.0997874660031295
