user,H_decision,H_change,p_up,p_change,p_up_mkt_up,p_down_mkt_down,p_repeat_success,p_change_fail,n_decisions,cluster
57,0.9860400318404434,0.954434002924965,0.5694444444444444,0.375,0.7560975609756098,0.6774193548387097,0.8048780487804879,0.6129032258064516,72,0
58,0.9910760598382222,0.943601631299382,0.5555555555555556,0.3611111111111111,0.7435897435897436,0.6666666666666667,0.8048780487804879,0.5806451612903226,72,0
59,0.964078764808229,0.997772472089982,0.6111111111111112,0.4722222222222222,0.7906976744186046,0.6551724137931034,0.7317073170731707,0.7419354838709677,72,0
60,0.9182958340544896,0.9031161721568719,0.6666666666666666,0.3188405797101449,0.8,0.5172413793103448,0.8787878787878788,0.5,69,1
62,0.972552316568843,0.964078764808229,0.5972222222222222,0.3888888888888889,0.7804878048780488,0.6451612903225806,0.7608695652173914,0.6538461538461539,72,0
64,0.9037762882345832,0.999443333090299,0.6805555555555556,0.5138888888888888,0.7837837837837838,0.4285714285714286,0.5897435897435898,0.6363636363636364,72,0
65,0.9860400318404434,0.999443333090299,0.5694444444444444,0.5138888888888888,0.7575757575757576,0.5897435897435898,0.641025641025641,0.696969696969697,72,0
66,1.0,0.9949848281859701,0.5,0.4583333333333333,0.6666666666666666,0.7777777777777778,0.7142857142857143,0.7,72,0
67,0.8786744932173093,0.9918207974218424,0.7021276595744681,0.44680851063829785,0.6363636363636364,0.24,0.47619047619047616,0.38461538461538464,47,0
69,0.8325582396745668,0.9182958340544896,0.7361111111111112,0.3333333333333333,0.7142857142857143,0.23333333333333328,0.6511627906976745,0.3103448275862069,72,1
70,0.710676853856123,0.9315627684809642,0.8055555555555556,0.3472222222222222,0.8461538461538461,0.30000000000000004,0.7906976744186046,0.5517241379310345,72,1
71,0.9998568991526107,0.9998568991526107,0.5070422535211268,0.5070422535211268,0.7297297297297297,0.7352941176470589,0.75,0.717948717948718,71,0
72,0.9786961448300947,0.9994110647387552,0.5857142857142857,0.4857142857142857,0.6176470588235294,0.4444444444444444,0.5483870967741935,0.5128205128205128,70,0
73,0.9860400318404434,0.9949848281859701,0.4305555555555556,0.5416666666666666,0.375,0.5,0.40909090909090906,0.4642857142857143,72,0
74,0.9949848281859701,0.9949848281859701,0.5416666666666666,0.4583333333333333,0.9583333333333334,0.875,0.8666666666666667,1.0,48,0
75,0.9798687566511528,0.9798687566511528,0.5833333333333334,0.4166666666666667,0.8611111111111112,0.6944444444444444,0.8421052631578947,0.7058823529411765,72,0
76,0.9826154285526119,0.9477073729342065,0.5774647887323944,0.36619718309859156,0.5416666666666666,0.34782608695652173,0.6,0.3225806451612903,71,0
77,0.9182958340544896,0.999443333090299,0.6666666666666666,0.5138888888888888,0.7906976744186046,0.5172413793103448,0.6428571428571428,0.7333333333333333,72,0
78,0.9229192878686721,0.9883779727795041,0.6619718309859155,0.43661971830985913,0.8809523809523809,0.6551724137931034,0.8571428571428572,0.7222222222222222,71,0
80,0.8524051786494786,0.9182958340544896,0.7222222222222222,0.3333333333333333,0.7837837837837838,0.34285714285714286,0.7297297297297297,0.4,72,1
