id,scenario,series,completed,correct_answers,errors,end_date
715,3C,20,1,6,19,2013-12-15 11:53:19
716,4I,11,1,13,12,2013-12-15 11:45:37
717,1C,22,1,19,6,2013-12-15 11:55:48
718,2C,7,1,14,11,2013-12-15 11:53:46
719,3C,26,1,13,11,2013-12-15 11:51:18
720,4C,4,1,16,9,2013-12-15 11:47:48
721,1I,9,1,12,12,2013-12-15 11:56:28
722,2I,18,1,10,15,2013-12-15 11:50:06
723,3I,8,1,12,13,2013-12-15 12:03:02
724,4I,13,1,15,10,2013-12-15 11:58:52
725,1C,30,1,15,10,2013-12-15 11:51:59
726,2C,4,1,10,15,2013-12-15 11:54:27
727,3C,6,1,14,11,2013-12-15 11:56:59
728,4J,23,1,14,11,2013-12-15 11:59:19
729,1I,13,0,-1,-1,NULL
730,2I,4,0,-1,-1,NULL
731,3I,1,1,14,11,2013-12-15 11:54:41
732,4J,29,0,-1,-1,NULL
733,1C,29,0,-1,-1,NULL
734,2C,6,0,-1,-1,NULL
735,3I,4,1,8,17,2013-12-15 11:55:41
736,4I,19,0,-1,-1,NULL
737,1C,24,1,12,13,2013-12-15 11:51:48
738,2C,13,1,9,16,2013-12-15 11:52:36
739,3I,17,1,9,16,2013-12-15 11:53:18
740,4I,15,1,12,13,2013-12-15 11:54:01
741,1C,15,1,14,11,2013-12-15 12:01:07
742,2C,1,1,11,14,2013-12-15 12:04:13
743,3I,23,1,13,12,2013-12-15 12:07:52
744,4C,10,1,23,2,2013-12-15 12:11:40
745,1C,6,1,13,12,2013-12-15 11:59:19
746,2C,1,1,21,4,2013-12-15 12:12:09
747,3C,10,1,24,1,2013-12-15 12:18:03
748,4J,28,1,11,14,2013-12-15 12:04:05
749,1I,13,1,9,14,2013-12-15 11:59:15
750,2I,27,1,16,9,2013-12-15 12:01:23
751,3C,20,1,12,13,2013-12-15 11:56:43
752,4J,30,1,15,10,2013-12-15 12:06:25
753,1I,17,1,11,11,2013-12-15 12:01:34
754,2I,28,1,15,10,2013-12-15 12:05:56
755,3C,14,1,10,15,2013-12-15 12:10:08
756,4C,8,1,12,13,2013-12-15 12:12:26
757,1I,24,1,14,11,2013-12-15 12:29:25
758,2I,14,1,16,9,2013-12-15 12:17:46
759,3C,2,1,10,15,2013-12-15 12:35:17
760,4I,19,1,12,13,2013-12-15 12:26:02
761,1C,29,1,14,11,2013-12-15 12:20:17
762,2C,14,1,14,11,2013-12-15 12:17:35
763,3I,19,1,16,9,2013-12-15 12:16:03
764,4J,28,1,16,9,2013-12-15 12:13:27
765,1C,10,1,15,10,2013-12-15 12:22:14
766,2C,27,1,15,10,2013-12-15 12:17:51
767,3C,13,1,11,13,2013-12-15 12:25:08
768,4J,21,1,12,13,2013-12-15 12:26:49
769,1C,6,1,11,14,2013-12-15 12:22:02
770,2C,7,1,15,10,2013-12-15 12:23:47
771,3I,24,1,12,13,2013-12-15 12:29:10
772,4J,26,1,17,8,2013-12-15 12:26:20
773,1I,29,1,14,11,2013-12-15 12:21:10
774,2I,14,0,-1,-1,NULL
775,3C,21,0,-1,-1,NULL
776,4I,12,0,-1,-1,NULL
777,1C,11,1,10,15,2013-12-15 14:43:23
778,2C,16,1,19,6,2013-12-15 14:33:16
779,3I,29,1,9,16,2013-12-15 12:28:03
780,4I,17,1,15,10,2013-12-15 14:38:45
781,1C,1,1,15,10,2013-12-15 12:25:29
782,2C,10,1,13,12,2013-12-15 12:28:07
783,3I,14,0,-1,-1,NULL
784,4J,29,0,-1,-1,NULL
785,1C,10,1,15,10,2013-12-15 12:35:00
786,2C,26,1,14,11,2013-12-15 12:37:45
787,3C,13,1,10,15,2013-12-15 12:41:29
788,4C,7,0,-1,-1,NULL
789,1I,28,0,-1,-1,NULL
790,2I,26,1,11,14,2013-12-15 12:38:06
791,3C,12,0,-1,-1,NULL
792,4I,18,0,-1,-1,NULL
793,1I,13,1,13,12,2013-12-15 14:43:46
794,2I,28,0,-1,-1,NULL
795,3I,25,0,-1,-1,NULL
796,4I,15,0,-1,-1,NULL
797,1C,16,1,12,13,2013-12-15 12:50:24
798,2C,5,1,10,15,2013-12-15 12:52:44
799,3C,19,1,9,16,2013-12-15 12:55:45
800,4C,9,1,12,13,2013-12-15 12:57:32
801,1C,20,1,10,15,2013-12-15 12:45:15
802,2C,17,1,12,13,2013-12-15 12:46:59
803,3I,2,1,11,14,2013-12-15 12:48:32
804,4J,26,1,19,6,2013-12-15 12:49:59
805,1C,21,1,16,9,2013-12-15 12:56:16
806,2C,10,1,17,8,2013-12-15 12:58:51
807,3I,7,1,17,8,2013-12-15 13:02:06
808,4I,12,1,16,9,2013-12-15 13:04:16
809,1C,12,1,12,13,2013-12-15 12:59:33
810,2C,22,0,-1,-1,NULL
811,3C,8,0,-1,-1,NULL
812,4I,19,0,-1,-1,NULL
813,1C,8,1,18,7,2013-12-15 12:55:34
814,2C,27,1,8,17,2013-12-15 12:57:08
815,3I,13,1,13,12,2013-12-15 12:58:43
816,4I,17,1,15,10,2013-12-15 13:00:18
817,1C,23,0,-1,-1,NULL
818,2C,6,0,-1,-1,NULL
819,3I,27,1,14,11,2013-12-15 12:58:30
820,4J,26,1,12,13,2013-12-15 13:00:49
821,1I,12,1,11,14,2013-12-15 13:20:59
822,2I,16,1,11,14,2013-12-15 13:18:03
823,3I,3,1,9,16,2013-12-15 13:19:52
824,4I,14,1,9,16,2013-12-15 13:22:41
825,1I,4,1,8,16,2013-12-15 13:23:27
826,2I,18,1,8,17,2013-12-15 13:27:11
827,3I,9,1,17,8,2013-12-15 13:30:04
828,4J,30,1,12,13,2013-12-15 13:32:42
829,1I,15,1,11,14,2013-12-15 13:21:35
830,2I,27,1,16,9,2013-12-15 13:24:11
831,3C,16,1,15,10,2013-12-15 13:26:13
832,4J,23,1,9,16,2013-12-15 13:27:56
833,1C,15,1,15,10,2013-12-15 13:28:44
834,2C,17,1,11,14,2013-12-15 13:26:25
835,3I,7,1,15,10,2013-12-15 13:22:37
836,4C,5,1,12,13,2013-12-15 13:24:58
