User_ID,phenotype_kmeans,phi_star,n,match_rate_real,match_rate_shuffled,match_rate_delta,H_Dphi_real,H_Dphi_shuffled,H_Dphi_delta,I_Dphi;g_real,I_Dphi;g_shuffled,I_Dphi;g_delta,I_Dphi;TS_quad_real,I_Dphi;TS_quad_shuffled,I_Dphi;TS_quad_delta
424,Optimist,Optimist,16,0.9375,0.50625,0.43125,0.382374286644794,1.0013522168023987,-0.6189779301576047,0.382374286644794,0.22345575238244397,0.15891853426235003,0.09353165849888112,-0.007865337956812525,0.10139699645569364
425,Envious,Envious,16,0.6875,0.47500000000000003,0.21249999999999997,0.9411224525623375,0.9874530404393076,-0.046330587876970086,0.11649464222470829,0.24627716237154673,-0.12978252014683844,0.11649464222470829,0.09320136434654464,0.023293277878163654
426,Undefined,Envious,18,0.7222222222222222,0.6722222222222222,0.050000000000000044,0.8924800408963943,0.942733154667832,-0.05025311377143771,0.14896206810711277,0.1634866685910234,-0.014524600483910632,0.013839651133245812,0.07216576273722573,-0.05832611160397992
427,Pessimist,Pessimist,18,0.8888888888888888,0.4611111111111111,0.42777777777777776,0.5433331970225614,0.9906952541051646,-0.4473620570826031,0.2810361125534236,0.0838481636527668,0.19718794890065677,0.2810361125534236,0.015163121712044841,0.2658729908413787
428,Trustful,Trustful,18,0.6111111111111112,0.6111111111111112,0.0,1.0041536270551445,1.0041536270551445,0.0,0.360575599779297,0.1921915812515308,0.1683840185277662,0.09916809481035427,0.046997590584935765,0.0521705042254185
429,Optimist,Optimist,18,0.6666666666666666,0.44999999999999984,0.21666666666666679,0.9583706963014053,1.009316854350018,-0.05094615804861269,0.5665742787833066,0.3820701465062543,0.18450413227705226,0.3147926690255577,0.15329472499619948,0.16149794402935821
431,Pessimist,Pessimist,18,0.6666666666666666,0.5111111111111111,0.15555555555555556,0.9583706963014053,0.9979732766835379,-0.0396025803821326,-0.034484865293750944,0.20149875106329507,-0.235983616357046,-0.09314230712883609,0.060080780245292856,-0.15322308737412893
432,Trustful,Trustful,18,0.8333333333333334,0.8333333333333331,2.220446049250313e-16,0.6900972838952698,0.69009728389527,-2.220446049250313e-16,0.008769059926196587,0.16258779763294642,-0.15381873770674984,-0.007369498710098621,0.08273110373173523,-0.09010060244183385
434,Pessimist,Pessimist,16,0.75,0.4750000000000001,0.2749999999999999,0.856362344486913,1.0079856336436797,-0.1516232891567667,0.1676876236364887,0.24355154694639253,-0.07586392330990382,0.04892921551835583,0.1348512401235103,-0.08592202460515447
436,Trustful,Trustful,16,0.8125,0.8125000000000002,-2.220446049250313e-16,0.7412964801529259,0.7412964801529263,-3.3306690738754696e-16,0.2761280400973657,0.19307839086547643,0.08304964923188926,0.14488644821549856,0.1264512939218206,0.018435154293677952
