User_ID,n_decisions,match_Trustful,H_mismatch_Trustful,match_Optimist,H_mismatch_Optimist,match_Pessimist,H_mismatch_Pessimist,match_Envious,H_mismatch_Envious,phenotype_entropy,Age,Gender
126,17,0.8235294117647058,0.672294817075638,0.6470588235294118,0.9366673818775626,0.6470588235294118,0.9366673818775626,0.4117647058823529,0.9774178175281716,Trustful,31,h
127,17,0.6470588235294118,0.9366673818775626,0.5294117647058824,0.9975025463691152,0.5294117647058824,0.9975025463691152,0.47058823529411764,0.9975025463691152,Undefined,34,d
128,17,0.4117647058823529,0.9774178175281716,0.4117647058823529,0.9774178175281716,0.4117647058823529,0.9774178175281716,0.47058823529411764,0.9975025463691152,Undefined,10,h
129,13,0.6153846153846154,0.9612366047228759,0.38461538461538464,0.9612366047228759,0.38461538461538464,0.9612366047228759,0.46153846153846156,0.9957274520849255,Undefined,31,h
130,13,0.6153846153846154,0.9612366047228759,0.6153846153846154,0.9612366047228759,0.5384615384615384,0.9957274520849255,0.5384615384615384,0.9957274520849255,Undefined,37,h
131,13,0.7692307692307693,0.779349837292085,0.5384615384615384,0.9957274520849255,0.5384615384615384,0.9957274520849255,0.38461538461538464,0.9612366047228759,Trustful,37,h
132,13,0.15384615384615385,0.6193821946787638,0.7692307692307693,0.779349837292085,0.5384615384615384,0.9957274520849255,1.0,0.0,Envious,36,h
133,13,0.7692307692307693,0.779349837292085,0.3076923076923077,0.8904916402194913,0.3076923076923077,0.8904916402194913,0.3076923076923077,0.8904916402194913,Trustful,46,h
134,13,0.38461538461538464,0.9612366047228759,0.8461538461538461,0.6193821946787638,0.8461538461538461,0.6193821946787638,0.7692307692307693,0.779349837292085,Optimist,16,h
135,16,0.0625,0.3372900666170139,0.6875,0.8960382325345574,0.6875,0.8960382325345574,0.9375,0.3372900666170139,Envious,16,d
136,16,0.1875,0.6962122601251458,0.625,0.954434002924965,0.75,0.8112781244591328,0.875,0.5435644431995964,Envious,18,h
137,16,0.75,0.8112781244591328,0.6875,0.8960382325345574,0.5625,0.9886994082884974,0.375,0.954434002924965,Trustful,25,h
