w_R,w_Trustful,w_Optimist,w_Pessimist,w_Envious,log_lik,cross_ent,accuracy,n,User_ID,phenotype_composition
0.9333334281851513,3.2381361453987884e-14,0.0,1.0482530777644914e-14,0.06666657181480594,-10.36384963970763,0.9967916319816711,0.5333333333333333,15,82,Undefined
0.2666681565819189,0.7333318434180301,0.0,3.288335722424187e-14,1.8006971781724248e-14,-5.8901170084494705,0.5665095065563859,0.8666666666666667,15,83,Trustful
1.826414792517085e-21,0.2832393494079517,0.043228772219491035,0.021278565512944696,0.6522533128596126,-8.004849715076514,0.7699037991334878,0.7333333333333333,15,84,Envious
8.431403591956327e-16,0.0,0.4999980978307608,5.056884907866714e-15,0.5000019021692333,-1.3862943741343536,0.13333333458506008,0.9333333333333333,15,85,Envious
0.44444448261697417,1.6404995309242385e-16,0.0,1.3982481080095086e-16,0.5555555173830256,-9.5347115830378,0.7642045065086218,0.7777777777777778,18,86,Envious
0.0,0.24385115852105618,2.9426298770665095e-14,0.05277193054225118,0.7033769109366632,-8.671264719045002,0.6949994782445365,0.7777777777777778,18,87,Envious
0.5999996124558298,0.0,0.3250003018213159,0.0750000857228543,3.441918381167849e-17,-11.401148925813885,0.9137989453171236,0.6666666666666666,18,88,Undefined
2.728439812275076e-10,0.8888839728096984,0.11111602691741493,4.267925475072661e-14,0.0,-3.1394888726885846,0.2516291681974391,0.9444444444444444,18,89,Trustful
2.3392399128846576e-13,0.999999999999766,0.0,0.0,0.0,-1.7999999499925237e-08,1.4426950008081088e-09,1.0,18,90,Trustful
9.706187303998413e-16,0.0,0.33333310051841275,1.965878779768831e-14,0.6666668994815667,-1.9095425198848042,0.15304930687802343,0.9444444444444444,18,91,Envious
1.5649074955667604e-09,0.10230768451888103,0.5615997214275169,0.0,0.3360925924886945,-7.070309127184943,0.5666833286300941,0.8333333333333334,18,92,Optimist
0.11111107873131178,0.0,1.5275900390552395e-15,0.0,0.8888889212686867,-3.8620647931753536,0.3095434291503302,0.9444444444444444,18,93,Envious
6.963653053059449e-10,0.452510522781535,0.29658401619575414,2.3649675690267968e-15,0.2509054603263432,-9.828542842318639,0.7877550009876565,0.6666666666666666,18,95,Trustful
