User_ID,Experiment_number,Round_number,S,T,Game,Action,Opponent_ID,Opponent_Action
59,4,14,0,6,Stag-Hunt,D,739,C
59,4,15,2,12,Prisoner's Dilemma,C,748,D
59,4,16,0,11,Prisoner's Dilemma,D,758,D
60,4,1,0,5,Stag-Hunt,D,Dummy,C
60,4,2,0,12,Prisoner's Dilemma,C,581,D
60,4,3,0,15,Prisoner's Dilemma,D,589,C
60,4,4,10,10,border Harmony/Snow Drift,C,607,C
60,4,5,1,9,Stag-Hunt,C,Dummy,D
60,4,6,1,9,Stag-Hunt,C,626,D
60,4,7,3,13,Prisoner's Dilemma,D,644,C
60,4,8,0,14,Prisoner's Dilemma,C,658,D
60,4,9,1,9,Stag-Hunt,C,665,C
60,4,10,8,12,Snow Drift,D,685,D
60,4,11,9,5,Harmony,C,692,D
60,4,12,9,7,Harmony,C,704,C
60,4,13,3,7,Stag-Hunt,C,Dummy,D
60,4,14,0,6,Stag-Hunt,C,738,D
60,4,15,3,7,Stag-Hunt,C,744,C
60,4,16,9,6,Harmony,C,764,C
61,4,1,1,5,Stag-Hunt,C,567,C
61,4,2,5,9,border Harmony/Stag-Hunt,D,574,C
61,4,3,0,15,Prisoner's Dilemma,C,590,D
61,4,4,7,6,Harmony,C,608,C
61,4,5,10,8,Harmony,C,615,C
61,4,6,2,8,Stag-Hunt,C,631,D
61,4,7,3,13,Prisoner's Dilemma,C,643,D
61,4,8,7,13,Snow Drift,C,663,D
61,4,9,5,13,border Snow Drift/Prisoner's Dilemma,C,676,D
61,4,10,1,9,Stag-Hunt,D,680,D
61,4,11,9,5,Harmony,D,691,C
61,4,12,1,10,border Stag-Hunt/Prisoner's Dilemma,D,714,C
61,4,13,0,8,Stag-Hunt,D,717,D
61,4,14,10,13,Snow Drift,C,734,C
61,4,15,5,5,border Harmony/Stag-Hunt,C,749,C
61,4,16,1,7,Stag-Hunt,D,766,D
62,5,1,4,7,Stag-Hunt,C,776,D
62,5,2,1,14,Prisoner's Dilemma,D,783,C
62,5,3,9,13,Snow Drift,D,791,C
62,5,4,5,7,border Harmony/Stag-Hunt,D,802,C
62,5,5,3,14,Prisoner's Dilemma,D,Dummy,C
62,5,6,2,12,Prisoner's Dilemma,D,814,D
62,5,7,9,10,border Harmony/Snow Drift,C,825,D
62,5,8,5,12,border Snow Drift/Prisoner's Dilemma,D,Dummy,D
62,5,9,4,10,border Stag-Hunt/Prisoner's Dilemma,D,841,D
62,5,10,9,8,Harmony,C,851,C
62,5,11,6,6,Harmony,C,865,D
62,5,12,3,7,Stag-Hunt,D,871,C
62,5,13,3,9,Stag-Hunt,D,884,C
62,5,14,9,13,Snow Drift,D,Dummy,C
63,5,1,3,8,Stag-Hunt,D,Dummy,C
63,5,2,10,14,Snow Drift,C,780,D
63,5,3,4,9,Stag-Hunt,C,787,C
63,5,4,9,9,Harmony,C,Dummy,C
63,5,5,8,10,border Harmony/Snow Drift,C,805,C
63,5,6,9,15,Snow Drift,C,820,D
63,5,7,0,6,Stag-Hunt,C,824,D
63,5,8,10,11,Snow Drift,D,839,C
63,5,9,4,10,border Stag-Hunt/Prisoner's Dilemma,C,846,D
63,5,10,8,10,border Harmony/Snow Drift,D,854,C
63,5,11,1,13,Prisoner's Dilemma,D,861,C
63,5,12,9,14,Snow Drift,D,873,C
63,5,13,2,9,Stag-Hunt,D,Dummy,D
63,5,14,1,10,border Stag-Hunt/Prisoner's Dilemma,D,887,C
64,5,1,4,7,Stag-Hunt,D,775,C
64,5,2,9,10,border Harmony/Snow Drift,C,785,C
64,5,3,9,13,Snow Drift,C,792,D
64,5,4,8,11,Snow Drift,D,797,C
64,5,5,2,7,Stag-Hunt,D,809,C
64,5,6,5,7,border Harmony/Stag-Hunt,D,816,D
64,5,7,9,15,Snow Drift,C,827,C
64,5,8,1,14,Prisoner's Dilemma,D,833,C
64,5,9,0,12,Prisoner's Dilemma,C,848,C
64,5,10,6,11,Snow Drift,C,852,C
64,5,11,0,14,Prisoner's Dilemma,D,860,D
64,5,12,3,7,Stag-Hunt,C,870,D
64,5,13,3,9,Stag-Hunt,C,883,D
64,5,14,0,8,Stag-Hunt,C,889,C
65,5,1,3,9,Stag-Hunt,D,773,C
65,5,2,5,14,border Snow Drift/Prisoner's Dilemma,D,779,C
65,5,3,9,9,Harmony,C,Dummy,C
65,5,4,7,9,Harmony,D,798,C
65,5,5,1,6,Stag-Hunt,D,808,C
65,5,6,5,7,border Harmony/Stag-Hunt,D,817,D
65,5,7,0,6,Stag-Hunt,D,823,C
65,5,8,6,7,Harmony,C,837,C
65,5,9,4,10,border Stag-Hunt/Prisoner's Dilemma,D,842,D
65,5,10,0,6,Stag-Hunt,D,857,C
65,5,11,1,13,Prisoner's Dilemma,C,862,D
65,5,12,1,10,border Stag-Hunt/Prisoner's Dilemma,D,874,C
65,5,13,0,6,Stag-Hunt,C,882,C
65,5,14,0,13,Prisoner's Dilemma,D,893,C
66,5,1,8,9,Harmony,D,772,D
66,5,2,0,14,Prisoner's Dilemma,,Dummy,
66,5,3,8,10,border Harmony/Snow Drift,D,794,C
66,5,4,5,7,border Harmony/Stag-Hunt,C,803,D
66,5,5,3,13,Prisoner's Dilemma,D,811,D
66,5,6,2,12,Prisoner's Dilemma,D,815,D
